lexical_density,nominalization_density,clausal_complexity,mean_length_of_clause,passive_voice_ratio,label,level,filename
0.4588,3.2941,1.0476,9.8837,0.1429,0,Elementary,Amazon-ele.txt
0.4933,4.4444,2.0909,6.6176,0.2273,0,Elementary,Amsterdam-ele.txt
0.4619,3.6017,1.1154,8.5818,0.0385,0,Elementary,Anita-ele.txt
0.4969,2.2403,1.4348,8.7679,0.1304,0,Elementary,Arctic mapping-ele.txt
0.3911,2.5761,1.7619,7.3621,0.1905,0,Elementary,Banksy-ele.txt
0.4741,3.1088,1.8333,7.5686,0.1111,0,Elementary,Billionaires-ele.txt
0.4629,2.118,0.8182,8.2625,0.0227,0,Elementary,Blackberry-ele.txt
0.4507,4.932,1.5806,7.35,0.129,0,Elementary,Bolivia-ele.txt
0.4869,2.864,1.5714,7.7593,0.0952,0,Elementary,Bonus pay-ele.txt
0.4738,2.2727,0.9375,9.2258,0.0938,0,Elementary,Brazil-ele.txt
0.4825,3.0801,1.913,7.2687,0.2609,0,Elementary,Cigarettes-ele.txt
0.5252,0.969,0.931,9.2143,0.0345,0,Elementary,climate change -ele.txt
0.4854,5.305,1.0526,9.6667,0.2105,0,Elementary,Coal to challenge oil-ele.txt
0.4325,2.5794,1.913,7.5224,0.2174,0,Elementary,Copyright-ele.txt
0.4419,2.6667,1.4138,7.5,0.069,0,Elementary,Crowdfunding-ele.txt
0.4493,1.1824,1.6176,6.6517,0.0588,0,Elementary,Denmark-ele.txt
0.4458,3.4056,0.7442,8.6133,0.0698,0,Elementary,Everest-ele.txt
0.4834,3.6145,0.9524,8.0976,0.0,0,Elementary,Exercise-ele.txt
0.4206,1.7167,0.8077,9.9149,0.0385,0,Elementary,Facebook deserted by millions of users-ele.txt
0.5113,2.253,1.2727,7.6933,0.0606,0,Elementary,False memory-ele.txt
0.4091,3.1348,1.1053,7.975,0.0263,0,Elementary,Ferguson-ele.txt
0.4583,1.4173,1.381,6.35,0.0238,0,Elementary,Fitness-ele.txt
0.4964,2.8777,1.4,8.6875,0.3,0,Elementary,Food shortages-ele.txt
0.5081,1.034,1.0769,6.2685,0.1538,0,Elementary,Gangs-ele.txt
0.4436,3.1863,1.16,7.5556,0.04,0,Elementary,Gorillas and oil-ele.txt
0.4684,1.6878,1.3,6.8696,0.1333,0,Elementary,Greeks and drugs-ele.txt
0.4381,1.9637,1.2632,7.6977,0.1316,0,Elementary,Hillsborough-ele.txt
0.4845,2.6101,0.9118,9.4308,0.0294,0,Elementary,Insects-ele.txt
0.5198,2.0979,1.9048,7.0328,0.1429,0,Elementary,Japan menu-ele.txt
0.3994,1.6153,1.08,6.5481,0.12,0,Elementary,Japan-ele.txt
0.4587,3.4321,0.9565,7.1222,0.0652,0,Elementary,Kashmir-ele.txt
0.4421,3.8596,1.0667,9.1935,0.2667,0,Elementary,Kate and William-ele.txt
0.4342,3.6184,1.1765,8.2162,0.3824,0,Elementary,Kenya-ele.txt
0.4631,1.8462,1.2941,8.3333,0.0882,0,Elementary,Liberia-ele.txt
0.4703,1.8265,1.1538,7.8214,0.1154,0,Elementary,Lie detector-ele.txt
0.4446,2.1841,0.9189,9.0282,0.0541,0,Elementary,Life expectancy-ele.txt
0.4331,2.9528,1.5556,7.3623,0.037,0,Elementary,Life on Mars-ele.txt
0.4369,2.2523,0.5185,10.8293,0.1481,0,Elementary,Loterry-ele.txt
0.3648,2.4575,1.2667,7.7794,0.0667,0,Elementary,Malala-ele.txt
0.4791,2.5105,0.6364,8.8519,0.2727,0,Elementary,Meteorite-ele.txt
0.4574,2.9787,1.5,7.8333,0.0417,0,Elementary,Midlife crisis-ele.txt
0.4856,1.3055,1.6,7.3654,0.35,0,Elementary,Murderers beware-ele.txt
0.391,1.6293,0.75,10.0204,0.2857,0,Elementary,Nelson Mandela-ele.txt
0.4875,2.3033,1.1333,8.1406,0.2,0,Elementary,Nepal-ele.txt
0.4467,1.5027,0.7917,8.5116,0.0,0,Elementary,Norwegian sun-ele.txt
0.4309,2.8455,1.6207,6.4737,0.0345,0,Elementary,NSA 2-ele.txt
0.4421,5.9649,1.88,7.9167,0.2,0,Elementary,NSA scandal-ele.txt
0.4124,2.1368,1.68,6.9851,0.0,0,Elementary,Obama-ele.txt
0.4945,4.059,1.4,9.0333,0.0,0,Elementary,Old age-ele.txt
0.4274,3.527,2.0435,6.8857,0.087,0,Elementary,Organs-ele.txt
0.3762,3.4056,1.25,7.1778,0.075,0,Elementary,Pope-ele.txt
0.3934,0.8282,1.2258,7.0,0.129,0,Elementary,Prince Harry-ele.txt
0.5046,3.5276,1.4615,6.7917,0.0513,0,Elementary,Rats-ele.txt
0.4486,2.7143,1.25,8.642,0.1667,0,Elementary,Richard III-ele.txt
0.4543,1.6224,0.9318,7.9765,0.0227,0,Elementary,Royal Baby-ele.txt
0.4543,1.6224,0.9318,7.9765,0.0227,0,Elementary,Skydiver-ele.txt
0.4609,1.1401,1.3784,6.9773,0.1081,0,Elementary,Spain-ele.txt
0.4625,3.8741,1.9474,7.375,0.0526,0,Elementary,Starbucks-ele.txt
0.5106,2.3404,0.9091,7.4603,0.0909,0,Elementary,Superbugs-ele.txt
0.4306,3.2941,1.381,8.5,0.1429,0,Elementary,Swedish prisons-ele.txt
0.4825,4.0351,1.0833,7.6,0.0833,0,Elementary,Syria-ele.txt
0.5248,2.2901,0.6562,9.8868,0.0938,0,Elementary,Teff-ele.txt
0.447,1.9749,1.0645,8.7031,0.129,0,Elementary,Thatcher-ele.txt
0.4146,4.2714,1.1481,6.8621,0.037,0,Elementary,US shutdown-ele.txt
0.4855,5.4545,1.1613,8.209,0.129,0,Elementary,Violence-ele.txt
0.3955,3.0822,1.25,7.2099,0.0833,0,Elementary,WNL 101 year old bottle message-ele.txt
0.4882,2.3622,1.6316,6.35,0.0,0,Elementary,WNL A good night sleep-ele.txt
0.4159,1.9342,0.3438,12.0233,0.0938,0,Elementary,WNL Apple-ele.txt
0.4969,2.2403,1.4348,8.7679,0.1304,0,Elementary,WNL Arctic Ramadan-ele.txt
0.5377,4.2836,1.5641,6.77,0.0769,0,Elementary,WNL Are MOOCs the future-ele.txt
0.4463,1.9774,1.0,7.375,0.0833,0,Elementary,WNL are you a bad boyfriend-ele.txt
0.4629,4.4088,2.1304,6.9306,0.2609,0,Elementary,WNL Bangladesh factory owners-ele.txt
